,theta2,theta3,theta1,theta4
1858,134.33142857142857,314.5464285714285,250.82071428571427,200.03857142857143
1859,134.37285714285716,314.5007142857143,250.78285714285715,200.0842857142857
1860,134.42214285714286,314.4535714285715,250.74,200.12785714285715
1861,134.47857142857143,314.3992857142857,250.67428571428573,200.18142857142857
1862,134.53214285714287,314.3442857142857,250.6185714285714,200.23428571428573
1863,134.57142857142858,314.3014285714286,250.5842857142857,200.27785714285713
1864,134.62428571428572,314.2492857142857,250.5364285714286,200.32714285714286
1865,134.70642857142857,314.16785714285714,250.45142857142858,200.41
1866,134.72857142857143,314.1478571428571,250.42285714285714,200.4385714285714
1867,134.77214285714285,314.105,250.38857142857142,200.48357142857142
1868,134.81428571428572,314.055,250.34,200.52285714285716
1869,134.86214285714286,314.0078571428571,250.285,200.56785714285712
1870,134.90714285714287,313.9628571428571,250.2392857142857,200.61357142857145
1871,134.95357142857142,313.9135714285714,250.195,200.66642857142855
1872,134.98357142857142,313.88500000000005,250.15928571428572,200.70071428571427
1873,135.02642857142857,313.84071428571434,250.12285714285713,200.73428571428573
1874,135.06714285714287,313.8,250.07928571428573,200.78071428571428
1875,135.1142857142857,313.7471428571429,250.03571428571428,200.82999999999998
1876,135.14642857142857,313.72214285714284,250.0064285714286,200.855
1877,135.18214285714285,313.68142857142857,249.96571428571428,200.895
1878,135.21785714285713,313.65214285714285,249.92928571428573,200.9307142857143
1879,135.25642857142856,313.6092857142857,249.885,200.975
1880,135.29,313.57642857142855,249.84714285714287,201.00500000000002
1881,135.32071428571427,313.54857142857145,249.82,201.03571428571428
1882,135.35357142857143,313.50642857142856,249.79142857142855,201.06642857142856
1883,135.38214285714284,313.4792857142857,249.7592857142857,201.09785714285712
1884,135.41642857142855,313.4421428571428,249.72285714285712,201.13714285714286
1885,135.44357142857143,313.4157142857143,249.70071428571427,201.15714285714284
1886,135.47285714285712,313.38500000000005,249.66357142857143,201.18785714285715
1887,135.49357142857144,313.36285714285714,249.64714285714285,201.21
1888,135.5242857142857,313.3342857142857,249.6142857142857,201.24428571428572
1889,135.54642857142858,313.3121428571429,249.59214285714285,201.26642857142858
1890,135.57071428571427,313.28785714285715,249.565,201.29285714285714
1891,135.59428571428572,313.2642857142857,249.54,201.31642857142856
1892,135.61857142857144,313.2364285714286,249.51642857142858,201.3414285714286
1893,135.6392857142857,313.21571428571434,249.49214285714285,201.365
1894,135.65714285714287,313.19571428571425,249.47785714285715,201.38214285714284
